linenumber,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
263,DR047,Expenditure,Ship Out,846.09,,0,VSDT*VSDO,,Outfitting,Pound sterling,
264,DR047,Return,Insurance loss reimbursement,4484,,0,Other,,Return,Pound sterling,"Assumption made by Richardson 1996, table 4"
265,DR048,Expenditure,Gross outlays,4376,,0,,,Outfitting,Pound sterling,
266,DR048,Expenditure,Insurance,481,,0,INV,,Outfitting,Pound sterling,
267,DR048,Return,Goods imported,2310,,0,,,Return,Pound sterling,
268,DR048,Return,Bills of exchange,2849,,0,,,Return,Pound sterling,
269,DR048,Expenditure,Ship Out,733,,0,VSDR,,Outfitting,Pound sterling,
270,DR048,Return,Ship In,550,,0,,,Return,Pound sterling,
271,DR049,Expenditure,Gross outlays,9403,,0,,,Outfitting,Pound sterling,
272,DR049,Expenditure,Insurance,1034,,0,INV,,Outfitting,Pound sterling,
273,DR049,Return,Net inset,7838,,0,,,Return,Pound sterling,
274,DR049,Expenditure,Ship Out,1774.29,,0,VSDT*VSDO,,Outfitting,Pound sterling,
275,DR049,Return,Ship In,1330.7175,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
276,DR050,Expenditure,Ship and outfit,246.875,,0,,,Outfitting,Pound sterling,
277,DR050,Expenditure,Insurance,5.27,,0,,,Outfitting,Pound sterling,
278,DR050,Return,Net inset,186.25,,0,,1751-09-01,Return,Pound sterling,
279,DR050,Return,Bills of exchange,66.39,,0,,1752-06-29,Return,Pound sterling,
280,DR050,Return,Ship In,26.9,,0,VSRV,,Return,Pound sterling,
281,DR051,Expenditure,Cargo and outfitting,198.75,,0,,1751-09,Outfitting,Pound sterling,
282,DR051,Expenditure,Ship Out,33.7875,,0,VSDT*VSDO,,Outfitting,Pound sterling,
283,DR051,Return,Ship In,25.340625,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
284,DR052,Expenditure,Cargo and outfitting,252.49,,0,,1756-05-20,Outfitting,Pound sterling,
285,DR052,Expenditure,Insurance,65.65,,0,INV,,Outfitting,Pound sterling,
286,DR052,Expenditure,Ship Out,54.08,,0,VSDO,,Outfitting,Pound sterling,
287,DR052,Return,Sale of sugar,164.28,,0,,1757-08,Return,Pound sterling,
288,DR052,Return,Balance of account,413,,0,,1757-10,Return,Pound sterling,
289,DR052,Return,Ship In,40.56,,0,VSDO*VSRV,,Return,Pound sterling,
290,DR053,Expenditure,Cargo and outfitting,212.5,,0,,1750-08-07,Outfitting,Pound sterling,
291,DR053,Expenditure,Insurance,23.38,,0,INV,,Outfitting,Pound sterling,
292,DR053,Expenditure,Ship Out,40.1,,0,VSDO,,Outfitting,Pound sterling,
293,DR053,Return,Inward account,39.38,,0,,1752-06-28,Return,Pound sterling,
